time/episodes,train/learning_rate,rollout/success rate,time/total timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
211,0.001,0.41,921337,123.76533248901367,921200,24.420513944625853,20,-4006.533303909999,4023.58,44956
212,0.001,0.41,925687,123.58002151489258,925500,13.19173405945301,20,-4020.2852794599994,4039.75,45174
213,0.001,0.41,930687,122.33263153076172,930500,4.226029257178307,20,-4006.1846039699994,4039.75,45419
214,0.001,0.41,935687,125.24164276123047,935500,6.2088273924589155,20,-3977.7532694300003,4039.75,45662
215,0.001,0.42,938939,123.86865966796876,938800,6.384998674988747,20,-3978.29283272,4022.27,45818
216,0.001,0.42,943686,125.3200636291504,943500,3.740378577709198,20,-3952.7443725300004,4025.03,46048
217,0.001,0.43,947532,123.69118240356445,947400,12.333045110106468,20,-3931.05517066,4013.49,46235
218,0.001,0.44,947944,120.80259246826172,947800,17.72987828850746,20,-3894.00122483,3967.61,46263
219,0.001,0.44,952517,124.2904360961914,952400,25.243448333740233,20,-3916.9451037899994,3998.76,46479
220,0.001,0.43,957517,125.10160873413086,957400,4.9776167237758635,20,-4033.8696991999996,4045.56,46723
221,0.001,0.42,962517,122.79087158203124,962400,15.651807976961136,20,-4034.03185657,4067.57,46966
222,0.001,0.42,964120,123.4478677368164,964000,9.566438891887664,20,-4034.0950022499997,4076.1,47042
223,0.001,0.42,969120,122.88527587890626,969000,9.71322682619095,20,-4051.3272773399995,4076.1,47288
224,0.001,0.42,970919,123.27173980712891,970800,9.841956086754799,20,-4073.6948432999993,4072.99,47382
225,0.001,0.41,975919,121.55892578125,975800,7.084695951938629,20,-4199.53636047,4118.81,47628
226,0.001,0.41,980919,125.29522201538086,980800,13.931907349824906,20,-4209.19466372,4118.81,47872
227,0.001,0.41,985919,124.86750625610351,985800,9.936989995241165,20,-4315.54426435,4118.81,48115
228,0.001,0.42,989725,124.14522308349609,989600,6.52480676651001,20,-4266.13458165,4106.87,48298
229,0.001,0.43,993801,124.29069366455079,993700,4.495489213466644,20,-4214.88348219,4097.63,48494
230,0.001,0.43,998801,123.38840744018555,998700,3.019512713551521,20,-4217.26296237,4097.63,48737
231,0.001,0.43,1003801,124.17528518676758,1003700,2.9897797095775602,20,-4262.77257299,4097.63,48981
232,0.001,0.43,1006108,125.47101364135742,1006000,5.102248288393021,20,-4246.01494746,4082.66,49093
233,0.001,0.44,1009907,126.47797653198242,1009800,3.503544406294823,20,-4220.58337599,4070.65,49279
234,0.001,0.44,1014907,122.92312225341797,1014800,4.4787735080719,20,-4181.487365049999,4070.65,49525
235,0.001,0.44,1018899,123.19709228515624,1018700,3.3439467644691465,20,-4214.32961215,4095.28,49719
236,0.001,0.43,1023899,122.34627304077148,1023700,3.4088012307882307,20,-4245.37270113,4122.68,49963
237,0.001,0.44,1025730,119.95271087646485,1025600,35.450351185798645,20,-4224.6797773299995,4090.99,50046
238,0.001,0.44,1030730,118.66336181640625,1030600,3.4497050720453264,20,-4261.32247583,4090.99,50290
239,0.001,0.45,1031553,118.77849700927734,1031400,10.821307156085968,20,-4131.9385062,4049.22,50335
240,0.001,0.46,1032252,121.88812927246094,1032100,15.644545651078225,20,-4058.3375627099995,4006.21,50366
241,0.001,0.46,1037252,118.68345138549805,1037100,3.465357418060303,20,-4061.4733384299993,4006.21,50607
242,0.001,0.47,1040112,118.97485382080077,1040000,9.51261032640934,20,-4053.7352597299996,3984.81,50755
243,0.001,0.47,1041708,117.16964981079101,1041600,3.2971893233060836,20,-4036.31004631,3950.94,50832
244,0.001,0.48,1042604,118.72151443481445,1042500,5.920712713003159,20,-3984.0484445700004,3909.9,50880
245,0.001,0.49,1044295,117.63865951538087,1044100,8.814551550149918,20,-3901.9338623100007,3876.81,50959
246,0.001,0.49,1045975,117.82869262695313,1045800,6.6655089628696444,20,-3907.6850394699995,3850.76,51040
247,0.001,0.49,1050975,115.31518600463868,1050800,7.9126543462276455,20,-3848.24129458,3850.76,51287
248,0.001,0.49,1052109,115.12568008422852,1052000,5.4464390349388125,20,-3786.90453547,3820.36,51341
249,0.001,0.48,1057109,114.72487655639648,1057000,7.870446746945381,20,-3798.6372618199994,3840.56,51585
250,0.001,0.49,1058011,114.45269424438476,1057900,5.368377133607864,20,-3732.9155640099993,3799.58,51633
251,0.001,0.5,1060886,114.37409271240234,1060700,13.483841028809547,20,-3696.9857456199998,3778.33,51768
252,0.001,0.5,1065886,111.3917529296875,1065700,9.067798651456833,20,-3714.5388990199995,3778.33,52014
