time/time_elapsed,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/n_updates,time/episodes,train/critic_loss
10985,173.33579223632813,20,0.001,602.47,-1942.5529512199998,221907,1.0,221800,188,547.1541719818115
11002,173.93810577392577,20,0.001,588.72,-1909.9600346599996,222160,1.0,222000,189,129.88712646484376
11025,172.1465380859375,20,0.001,581.9,-1913.7640012799998,222721,1.0,222600,190,371.68321140289305
11065,169.26925048828124,20,0.001,580.42,-1919.8578099499998,223431,1.0,223300,191,532.8410768127442
11090,175.43777252197265,20,0.001,565.78,-1901.08177263,224026,1.0,223900,192,326.6902689361572
11121,171.03968185424804,20,0.001,570.66,-1919.9145253999998,224569,1.0,224400,193,284.9575199508667
11229,167.91020935058594,20,0.001,583.58,-1947.3940363899999,226834,1.0,226700,194,297.5248062896728
11238,168.14296463012695,20,0.001,571.61,-1931.8768039799997,226955,1.0,226800,195,232.55959564208985
11255,164.7174722290039,20,0.001,567.79,-1937.53254791,227307,1.0,227200,196,216.38599201202393
11276,171.6749465942383,20,0.001,567.23,-1920.6706717199997,227784,1.0,227600,197,159.73402568817139
11522,165.2365480041504,20,0.001,612.7,-2000.75582582,232784,0.99,232600,198,220.96156578063966
11571,160.62643310546875,20,0.001,614.07,-2012.3182249299996,233751,0.99,233600,199,294.04724403381346
11619,164.44317504882812,20,0.001,618.73,-2015.6688707799997,234680,0.99,234500,200,341.70841957092284
11635,163.35638275146485,20,0.001,618.72,-2022.47194666,235076,0.99,234900,201,273.21412506103513
11655,164.59988052368163,20,0.001,617.23,-2029.65972481,235506,0.99,235400,202,306.9556334686279
11701,169.48082733154297,20,0.001,612.71,-2062.83420032,236400,0.99,236200,203,298.28017791748044
11728,162.16814407348633,20,0.001,614.75,-2070.6272263600003,236898,0.99,236700,204,192.41946685791015
11760,167.11960693359376,20,0.001,615.32,-2071.82136114,237590,0.99,237400,205,228.6573415374756
11783,165.28012802124024,20,0.001,613.49,-2077.08733607,238026,0.99,237900,206,180.66269802093507
11802,164.75222839355467,20,0.001,610.73,-2055.67620872,238337,0.99,238200,207,240.85863433837892
11839,164.07685165405275,20,0.001,608.19,-2093.9215622499996,239208,0.99,239100,208,427.33561500549314
11846,,20,,604.75,-2064.9192289299995,239300,0.99,,209,
11940,163.8536814880371,20,0.001,618.94,-2103.6882340299994,241209,0.99,241100,210,270.8727145385742
11967,167.89450805664063,20,0.001,617.75,-2094.3089857299997,241764,0.99,241600,211,152.29771320343016
11993,163.3722245788574,20,0.001,618.53,-2103.0794920300004,242252,0.99,242100,212,207.17289474487305
12010,160.5423260498047,20,0.001,615.11,-2113.10968493,242659,0.99,242500,213,265.4246661758423
12035,164.12970642089843,20,0.001,617.03,-2128.4177366,243095,0.99,242900,214,255.02192668914796
12050,165.07234634399413,20,0.001,616.14,-2119.9468671100003,243359,0.99,243200,215,306.6702730178833
12084,164.8444644165039,20,0.001,620.1,-2126.91719954,244171,0.99,244000,216,191.83890190124512
12101,160.35560653686522,20,0.001,617.96,-2113.3208208300002,244398,0.99,244200,217,319.28246608734133
12120,167.88586639404298,20,0.001,618.55,-2128.13038837,244820,0.99,244700,218,275.6280199813843
12141,162.30956024169922,20,0.001,614.94,-2122.46884275,245321,0.99,245200,219,387.2035339736938
12185,165.50150390625,20,0.001,604.13,-2103.54690145,246136,0.99,246000,220,250.26814239501954
12205,165.34087356567383,20,0.001,600.38,-2085.30114635,246608,0.99,246500,221,245.25116188049316
12226,162.96293655395507,20,0.001,597.52,-2095.59012547,246882,0.99,246700,222,371.7093586730957
12257,164.45123931884766,20,0.001,600.31,-2118.09096746,247630,0.99,247500,223,194.5356769180298
12276,157.59760009765625,20,0.001,597.64,-2085.35432778,247966,0.99,247800,224,244.22984939575196
12288,165.80836212158204,20,0.001,594.97,-2055.53119951,248142,0.99,248000,225,256.09446159362795
12320,164.6725682067871,20,0.001,597.14,-2082.93319743,248876,0.99,248700,226,147.01809101104737
12330,160.63254928588867,20,0.001,593.67,-2058.50848851,249096,0.99,248900,227,150.40316986083985
12353,157.56235794067382,20,0.001,595.18,-2061.5707371200006,249409,0.99,249300,228,220.36711246490478
12371,163.6266062927246,20,0.001,595.7,-2064.85905679,249846,0.99,249700,229,352.8257136917114
12396,161.73929718017578,20,0.001,595.98,-2068.18966655,250391,0.99,250200,230,189.89319561004638
