train/n_updates,rollout/success rate,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/critic_loss,time/fps
489880,0.0,0.001,4900,92.3441390991211,-77.03453066,23634,100.0,490000,161.72877383232117,20
490280,0.0,0.001,4904,91.74966049194336,-77.22015900000001,23762,100.0,490400,127.43072049617767,20
490680,0.0,0.001,4908,92.12252273559571,-78.10148928,23867,100.0,490800,116.24788053035736,20
491080,0.0,0.001,4912,91.82605438232422,-76.96540378000002,24001,100.0,491200,123.31664810180663,20
491480,0.0,0.001,4916,92.73505783081055,-76.65054538999999,24115,100.0,491600,147.7805091381073,20
491880,0.0,0.001,4920,91.68880081176758,-75.89404493,24234,100.0,492000,183.99098949432374,20
492280,0.0,0.001,4924,91.93018798828125,-75.72607291,24320,100.0,492400,142.4268033504486,20
492680,0.0,0.001,4928,91.8656219482422,-75.13348755,24416,100.0,492800,149.7122992992401,20
493080,0.0,0.001,4932,92.28227386474609,-74.78309325000001,24506,100.0,493200,197.47557435035705,20
493480,0.0,0.001,4936,91.35881729125977,-73.62145229,24613,100.0,493600,247.9363697052002,20
493880,0.0,0.001,4940,91.68694458007812,-73.07200293999999,24711,100.0,494000,115.81258587837219,19
494280,0.0,0.001,4944,91.54207992553711,-71.04882186,24815,100.0,494400,137.5764052391052,19
494680,0.0,0.001,4948,91.39518814086914,-69.59753497,24933,100.0,494800,141.96578149795533,19
495080,0.0,0.001,4952,91.7185432434082,-68.95902996,25049,100.0,495200,113.92577276229858,19
495480,0.0,0.001,4956,91.10205535888672,-69.22954456000001,25137,100.0,495600,189.9569269657135,19
495880,0.0,0.001,4960,90.9065559387207,-70.26217321,25258,100.0,496000,220.88634114265443,19
496280,0.0,0.001,4964,91.88230895996094,-72.36357964,25348,100.0,496400,153.87260763645173,19
496680,0.0,0.001,4968,91.32669830322266,-72.70822691000001,25444,100.0,496800,191.32051944732666,19
497080,0.0,0.001,4972,91.5750846862793,-71.43849245,25538,100.0,497200,144.13260979652404,19
497480,0.0,0.001,4976,90.74492111206055,-70.11319257000001,25637,100.0,497600,128.61189804077148,19
497880,0.0,0.001,4980,90.68425064086914,-70.13883031000002,25734,100.0,498000,168.40468153953552,19
498280,0.0,0.001,4984,90.1634147644043,-69.38257024,25846,100.0,498400,232.2760618209839,19
498680,0.0,0.001,4988,90.25979995727539,-69.05564533,25967,100.0,498800,196.2294644832611,19
499080,0.0,0.001,4992,90.56771926879883,-68.13702285000001,26077,100.0,499200,157.1000836610794,19
499480,0.0,0.001,4996,90.51415557861328,-69.05991496,26176,100.0,499600,150.92251007556916,19
499880,0.0,0.001,5000,90.60125122070312,-69.04339325999999,26288,100.0,500000,158.26904792785643,19
