time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,rollout/success rate,train/n_updates,train/critic_loss,time/total timesteps,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/std
14766,111.01274223327637,0.0003,61,0.34210526315789475,902800,0.800415709502995,902996,0.7225047995150089,-13240.53264373684,11881.526315789473,76,0.010402838056907058,0.059800758957862854
14818,110.78583244323731,0.0003,61,0.35064935064935066,906000,0.6875243509933352,906117,0.6822099573910236,-13100.536443740259,11767.753246753247,77,0.011825644299387933,0.059505198150873184
14935,110.52090034484863,0.0003,61,0.358974358974359,913100,1.1756549402698875,913248,0.13459065966308117,-13027.971899256409,11708.307692307691,78,0.01451456367969513,0.05944503843784332
14948,111.7208179473877,0.0003,61,0.3670886075949367,913900,2.3436393362656234,914062,0.11671722784638405,-12865.53541356962,11570.405063291139,79,0.015159827060997486,0.05943306162953377
15093,111.03462615966797,0.0003,61,0.375,922700,0.7380446286872029,922873,0.2564254705607891,-12789.9678918875,11535.9125,80,0.010646421182900666,0.059286799281835556
15157,109.98536911010743,0.0003,61,0.38271604938271603,926600,1.3198155439831316,926770,0.5145913148671388,-12662.326563333334,11441.604938271605,81,0.012784450706094503,0.05929016321897507
15403,110.84799072265625,0.0003,61,0.3780487804878049,941600,0.769154576100409,941770,-0.7871248072385788,-12758.276484829268,11485.0,82,0.013778272988274694,0.059572119265794754
15649,113.71607002258301,0.0003,61,0.37349397590361444,956600,1.105776254106313,956770,0.24826916612684727,-13171.899342578314,11527.349397590362,83,0.013555223802104593,0.060481321066617966
15894,112.87853302001953,0.0003,61,0.36904761904761907,971600,3.1154765621200204,971770,-0.4126704166084528,-13181.653269654764,11568.690476190477,84,0.013419390572234988,0.06187475845217705
16141,113.53932342529296,0.0003,61,0.36470588235294116,986600,1.9943765545263887,986770,0.0013476427644491195,-13258.09591284706,11609.058823529413,85,0.010657477341592312,0.06325764954090118
16388,115.24710098266601,0.0003,61,0.36046511627906974,1001600,0.12794608460739254,1001770,-0.05486710723489523,-13511.847869476745,11648.488372093023,86,0.009875875459983944,0.06353072077035904
16397,115.26969184875489,0.0003,61,0.367816091954023,1002200,0.9602918987348675,1002322,0.22401944003999233,-13357.426311908046,11520.942528735632,87,0.009743847707286478,0.06356613337993622
16601,114.6667813873291,0.0003,61,0.375,1014600,5.967239243444055,1014762,-0.00744562491774559,-13283.803505999998,11531.386363636364,88,0.010604230053722859,0.06295054405927658
16847,113.90491119384765,0.0003,61,0.3707865168539326,1029600,9.139921751469373,1029762,-0.4706249855458736,-13245.611343831459,11570.359550561798,89,0.010621080603450538,0.06281481683254242
17031,111.52141304016114,0.0003,61,0.37777777777777777,1040800,0.47836586883291604,1040948,-0.10426588729023933,-13224.302951377778,11566.08888888889,90,0.010885061351582409,0.06357016414403915
17277,112.93508270263672,0.0003,61,0.37362637362637363,1055800,0.036307885758578774,1055948,0.07515354704111815,-13443.450169252746,11603.824175824177,91,0.010142848482355476,0.06317475438117981
17338,111.88324783325196,0.0003,61,0.3804347826086957,1059500,0.06198377583175898,1059675,0.23159773774445058,-13332.780465826087,11518.20652173913,92,0.011142250942066311,0.06296148896217346
17344,112.30880226135254,0.0003,61,0.3870967741935484,1059900,8.675043624341487,1060030,0.20063170924782753,-13189.770864956987,11398.172043010753,93,0.011306688459590077,0.06293084472417831
