train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success rate,train/n_updates
379.3593811035156,7980,5484.184823608399,25.7,412313,0.001,4285,-37.27064396000001,96,0.85,412200
381.9149230957031,7984,4785.470376586914,25.09,412384,0.001,4306,-34.089106550000004,95,0.86,412280
,7988,,24.85,412400,,4315,-34.25700538,95,0.86,
376.2489501953125,7992,6148.155041503906,24.98,412443,0.001,4330,-34.05764756,95,0.86,412340
379.65472106933595,7996,3738.046630859375,26.88,412662,0.001,4402,-35.60599109,93,0.85,412560
371.4131774902344,8000,7627.7969421386715,27.72,412867,0.001,4468,-37.71803662,92,0.85,412760
378.4254455566406,8004,5613.068823242187,28.26,413007,0.001,4506,-38.18265409,91,0.84,412900
378.109619140625,8008,5570.473217773438,27.87,413132,0.001,4552,-42.48115299999999,90,0.84,413020
377.5844787597656,8012,5786.737622070313,26.99,413167,0.001,4574,-42.048020049999984,90,0.85,413060
373.179541015625,8016,5464.8751220703125,25.6,413247,0.001,4603,-36.97977846,89,0.87,413140
378.5397613525391,8020,6016.096301269531,25.72,413471,0.001,4674,-34.855047170000006,88,0.87,413360
377.35951232910156,8024,4686.09428100586,26.66,413596,0.001,4713,-35.3415985,87,0.86,413480
380.4640350341797,8028,5082.149356079101,26.64,413712,0.001,4751,-32.98949634,87,0.86,413600
372.08978576660155,8032,7362.408392333984,28.36,413930,0.001,4800,-34.04954658,86,0.84,413820
376.27895202636716,8036,5526.9425598144535,28.83,414004,0.001,4827,-34.718682720000004,85,0.84,413900
377.93353881835935,8040,5619.961160278321,27.15,414074,0.001,4852,-32.58408196,85,0.86,413960
381.7876892089844,8044,5078.93720703125,26.84,414098,0.001,4866,-30.91593726,85,0.86,413980
376.2567626953125,8048,6095.7501953125,26.54,414217,0.001,4893,-26.6463647,84,0.86,414100
379.7442230224609,8052,6090.843878173828,26.28,414257,0.001,4914,-27.15850023,84,0.86,414140
381.99754943847654,8056,5714.4915771484375,27.04,414385,0.001,4948,-29.56804326,83,0.85,414280
377.9465576171875,8060,6232.3153625488285,26.81,414506,0.001,4993,-29.119801089999996,83,0.85,414400
375.32342834472655,8064,6678.303771972656,25.03,414543,0.001,5007,-23.613161929999997,82,0.87,414440
376.3254821777344,8068,5005.336911010742,25.23,414604,0.001,5027,-23.483783599999995,82,0.87,414500
380.3855438232422,8072,5712.724713134766,26.73,414824,0.001,5098,-26.959770129999995,81,0.85,414720
381.9268798828125,8076,4923.689251708985,26.69,414860,0.001,5116,-26.761063280000002,81,0.85,414740
375.6898559570312,8080,4882.237902832031,25.83,414896,0.001,5134,-22.38676962,80,0.86,414780
379.5922088623047,8084,5694.842694091797,25.54,414938,0.001,5165,-22.12001791,80,0.86,414820
381.5596588134766,8088,4982.441833496094,25.71,414971,0.001,5184,-22.48723946,80,0.86,414860
369.96599731445315,8092,7264.747189331055,25.75,415018,0.001,5204,-22.43791474,79,0.86,414900
372.0661926269531,8096,6016.0856262207035,24.84,415146,0.001,5246,-23.627547139999997,79,0.86,415040
376.1088134765625,8100,5617.294534301758,24.37,415304,0.001,5295,-23.4131615,78,0.86,415200
376.41477355957034,8104,6856.590063476562,23.22,415329,0.001,5311,-22.69726819,78,0.87,415220
379.2076416015625,8108,5365.407745361328,22.33,415365,0.001,5324,-17.94737323,78,0.88,415260
373.7298065185547,8112,7023.52666015625,22.45,415412,0.001,5338,-17.954907459999998,77,0.88,415300
379.94472351074216,8116,4882.42211303711,23.04,415551,0.001,5373,-21.75299828,77,0.87,415440
373.0292083740234,8120,6374.567907714843,22.0,415671,0.001,5402,-21.59700054,76,0.89,415560
375.29827880859375,8124,7273.618481445313,22.05,415801,0.001,5442,-21.965825339999995,76,0.89,415700
374.6020812988281,8128,5422.70210571289,23.17,416029,0.001,5499,-27.73303434,75,0.87,415920
