time/time_elapsed,train/critic_loss,train/std,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success rate,time/episodes,time/fps,train/learning_rate,time/total timesteps,train/ent_coef,rollout/ep_len_mean,train/n_updates
20209,66.65426635742188,0.05013945326209068,75.40611267089844,-165.99798341999997,-8.172890663146973,0.06,1528,7,0.0003,150104,0.12475627660751343,96.48,7500
20372,50.12691116333008,0.050133492797613144,74.89273834228516,-165.59192829,-9.482160568237305,0.06,1532,7,0.0003,150504,0.12415895611047745,96.48,7520
20547,45.15741729736328,0.05012968182563782,75.20014953613281,-167.27522474999998,-9.973401069641113,0.06,1536,7,0.0003,150904,0.12359228730201721,96.48,7540
20762,134.71099853515625,0.05012669414281845,75.36737060546875,-166.64914903000002,-8.927532196044922,0.06,1540,7,0.0003,151304,0.12302875518798828,96.48,7560
20939,44.85504150390625,0.05012734979391098,75.10334777832031,-164.91847134,-4.53292179107666,0.07,1544,7,0.0003,151635,0.12261264771223068,95.79,7576
21141,51.89856719970703,0.05012817308306694,76.12931823730469,-164.75375262999998,-5.882005214691162,0.07,1548,7,0.0003,152035,0.12210309505462646,95.79,7596
21333,47.957279205322266,0.05013107508420944,75.31371307373047,-164.78250089000002,-2.5768604278564453,0.07,1552,7,0.0003,152435,0.12159974873065948,95.79,7616
21531,65.15576171875,0.05013173818588257,74.96287536621094,-163.45060299,-7.334151268005371,0.06,1556,7,0.0003,152835,0.12109197676181793,96.41,7636
21739,140.04443359375,0.05013056844472885,75.01899719238281,-162.77954689999999,-11.276558876037598,0.06,1560,7,0.0003,153235,0.12055674940347672,96.41,7656
21919,128.9991455078125,0.050130825489759445,75.17697143554688,-159.65949472999998,-11.562455177307129,0.06,1564,7,0.0003,153635,0.12005751579999924,96.41,7676
22111,47.677490234375,0.05012964457273483,74.71788787841797,-157.72372337000002,-7.164443016052246,0.06,1568,6,0.0003,154035,0.11955570429563522,96.41,7696
22260,72.50128936767578,0.050131283700466156,75.77737426757812,-154.63276132000001,-6.709859848022461,0.07,1572,6,0.0003,154355,0.11912798881530762,95.61,7712
22421,66.11520385742188,0.0501318983733654,75.59972381591797,-152.32001271000001,-5.325417518615723,0.07,1576,6,0.0003,154727,0.11864921450614929,95.86,7731
22635,43.080047607421875,0.050128817558288574,75.59559631347656,-149.54949878000002,-10.92062759399414,0.06,1580,6,0.0003,155127,0.1181318536400795,96.04,7751
22857,26.471752166748047,0.05012580752372742,75.52815246582031,-145.99795932000004,-15.493237495422363,0.06,1584,6,0.0003,155527,0.11759930104017258,96.04,7771
