time/total timesteps,time/time_elapsed,rollout/success rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
307351,6020,0.84,51,-1645.47492237,25.87,6874,,,,
307451,6063,0.83,50,-1677.5596654300002,26.82,6875,307340,11267.3416015625,5136989.40625,0.001
307515,6076,0.83,50,-1966.8999590599997,27.4,6876,307400,11074.7978515625,6186534.4125,0.001
307518,6113,0.83,50,-1960.8686215999999,27.29,6877,,,,
307523,6156,0.83,49,-1962.9322811299996,27.29,6878,307420,11016.57705078125,6331391.16875,0.001
307541,6162,0.83,49,-1976.8941801699998,27.41,6879,307440,10968.265625,6374660.2125,0.001
307543,6174,0.83,49,-1975.54133948,27.38,6880,,,,
307547,6187,0.83,49,-1985.3826458900003,27.38,6881,,,,
307553,6215,0.84,49,-1907.56930224,26.44,6882,,,,
307557,6217,0.84,49,-1896.9249925200002,26.43,6883,,,,
307570,6262,0.84,49,-1897.5238326199997,26.48,6884,307460,11058.85205078125,6806721.26875,0.001
307670,6280,0.83,48,-1894.6573096799996,27.31,6885,307560,11151.383203125,5592987.809375,0.001
307770,6298,0.82,48,-1902.7090128499997,27.4,6886,307660,11083.126953125,6875133.70625,0.001
307775,6306,0.82,48,-1891.6683014099995,27.39,6887,,,,
307784,6310,0.82,48,-1883.0987269000002,27.44,6888,307680,11243.07041015625,5262372.596875,0.001
307868,6381,0.82,48,-1894.1864233399997,27.92,6889,307760,11308.55673828125,5520588.825,0.001
307887,6392,0.82,48,-1882.6959733200001,27.86,6890,307780,11152.6126953125,6416631.14375,0.001
307892,6415,0.82,47,-1881.64375324,27.76,6891,,,,
307899,6433,0.82,47,-1892.30409759,27.8,6892,,,,
307907,6447,0.83,47,-1830.00034967,26.88,6893,307800,11363.54970703125,5613079.95,0.001
308007,6485,0.82,47,-1864.5287075200001,27.84,6894,307900,11068.9646484375,5917448.49375,0.001
308012,6498,0.82,47,-1865.52672705,27.86,6895,,,,
308015,6505,0.82,47,-1854.0852411100004,27.84,6896,,,,
308115,6529,0.81,47,-1864.47170637,28.36,6897,308000,11289.15810546875,7318945.709375,0.001
308126,6583,0.81,46,-1865.1959387000002,28.41,6898,308020,11254.6150390625,6283950.20625,0.001
308226,6617,0.8,46,-1893.49376588,29.37,6899,308120,11202.7900390625,5542591.121875,0.001
308229,6625,0.8,46,-1901.8805356900002,29.29,6900,,,,
308235,6637,0.8,46,-1901.8782644499997,29.28,6901,,,,
308238,6664,0.8,46,-1888.9325233199997,29.23,6902,,,,
308244,6667,0.81,46,-1865.763567,28.29,6903,308140,11087.4662109375,6011194.025,0.001
308344,6690,0.81,46,-1853.4011246500002,28.29,6904,308240,11287.66611328125,5255729.13125,0.001
308349,6713,0.82,45,-1831.7472972199996,27.34,6905,,,,
308354,6725,0.82,45,-1815.9635007699999,26.63,6906,,,,
308361,6729,0.82,45,-1857.5418046499994,26.63,6907,308260,11124.07392578125,5050193.725,0.001
308370,6742,0.82,45,-1797.7948828499998,26.64,6908,,,,
