time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,rollout/success rate,time/episodes,time/total timesteps,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
22251,-206582.47179980998,4993.15,55,0.01,248,1236289,4658.2491015625,0.001,1211200,19782.290737304687
22342,-206304.08058844,4993.15,55,0.01,249,1241289,4714.526240234375,0.001,1216200,44720.512099609376
22432,-206557.07988768,4993.15,55,0.01,250,1246289,4765.121201171875,0.001,1221200,26226.87658203125
22522,-207734.97117413004,4993.15,55,0.01,251,1251289,4777.535322265625,0.001,1226200,36320.23427001953
22612,-207993.49363502,4993.15,55,0.01,252,1256289,4677.19822265625,0.001,1231200,10777.735686035156
22702,-207639.04839494,4993.15,55,0.01,253,1261289,4668.222919921875,0.001,1236200,15478.486120605468
22795,-207614.77032344,4993.15,55,0.01,254,1266289,4742.5862890625,0.001,1241200,15054.563674316407
22886,-208339.68488172002,4993.15,55,0.01,255,1271289,4685.357944335938,0.001,1246200,31977.39677001953
22976,-208855.89715915997,4993.15,55,0.01,256,1276289,4759.454052734375,0.001,1251200,76671.73163085937
23066,-209407.46555932998,4993.15,55,0.01,257,1281289,4681.06607421875,0.001,1256200,41406.81688720703
23156,-209792.69035423995,4993.15,55,0.01,258,1286289,4709.78369140625,0.001,1261200,56750.53450683594
23246,-209674.36973148998,4993.15,55,0.01,259,1291289,4738.117504882813,0.001,1266200,11993.525959472656
23336,-209948.47446992993,4993.15,55,0.01,260,1296289,4743.48091796875,0.001,1271200,39862.9710546875
23426,-209576.50341096,4993.15,55,0.01,261,1301289,4706.628212890625,0.001,1276200,42642.01783691406
23517,-213236.71690874003,4993.15,55,0.01,262,1306289,4704.680356445312,0.001,1281200,32495.329248046874
23608,-211783.11323095002,4993.15,55,0.01,263,1311289,4605.341801757812,0.001,1286200,12171.806872558594
23698,-211643.55573929005,4993.15,55,0.01,264,1316289,4685.679829101562,0.001,1291200,14956.703325195313
23788,-211978.28143427006,4993.15,55,0.01,265,1321289,4691.8896484375,0.001,1296200,50373.394694824216
23878,-211570.07376451005,4993.15,55,0.01,266,1326289,4631.322006835938,0.001,1301200,22223.34396484375
