time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/fps,time/total timesteps,rollout/success rate,train/critic_loss
42557,-238336.68930192,2069.8088110351564,983,11941.38,7668000,0.001,180,7668182,0.46,9619.68638305664
42937,-238100.19085918003,2048.5478271484376,984,11941.38,7683000,0.001,178,7683182,0.46,9411.149831542969
43317,-235588.67169420005,2043.6588452148437,985,11941.38,7698000,0.001,177,7698182,0.46,6439.934345703125
43698,-234837.76159200002,2026.9906518554687,986,11941.38,7713000,0.001,176,7713182,0.46,5798.626020507812
44077,-236018.09748666,2079.950686035156,987,12007.84,7728000,0.001,175,7728182,0.45,6161.285928955078
44135,-233739.61505721998,2041.5814233398437,988,11880.36,7730300,0.001,175,7730434,0.46,6345.464168701172
44372,-232749.06161064998,2019.962294921875,989,11823.6,7739600,0.001,174,7739758,0.47,9753.312861328124
44753,-231768.93493446996,2015.5811059570312,990,11823.6,7754600,0.001,173,7754758,0.47,13587.714362792969
45133,-232933.18538100994,2009.3976000976563,991,11912.68,7769600,0.001,172,7769758,0.46,18218.973559570313
45238,-230853.65751466996,2003.8271728515624,992,11803.95,7773700,0.001,171,7773885,0.47,14686.554935302735
45618,-232432.05369911995,2012.4927661132813,993,11913.74,7788700,0.001,170,7788885,0.46,12889.75839477539
45998,-239063.53832315,1958.00755859375,994,12030.66,7803700,0.001,169,7803885,0.45,5950.347220458984
46048,-236937.6576139,1961.795068359375,995,11900.14,7805700,0.001,169,7805833,0.46,5508.6336352539065
46427,-236187.91944862995,1958.0199755859376,996,11900.14,7820700,0.001,168,7820833,0.46,10676.575981445312
46503,-234496.69907151998,1959.5525415039062,997,11817.59,7823700,0.001,168,7823843,0.46,16244.31249633789
46538,-233877.75044265998,1962.719912109375,998,11785.37,7825100,0.001,168,7825213,0.46,12012.741228027344
46769,-233383.90906414,1958.3050927734375,999,11757.21,7834200,0.001,167,7834339,0.46,6645.292749023438
47148,-236521.95360848,1965.8046240234376,1000,11795.31,7849200,0.001,166,7849339,0.45,5086.225161132813
47302,-234835.31617482996,2010.3999633789062,1001,11706.03,7855300,0.001,166,7855411,0.46,15710.644680175781
47681,-232236.37868773995,2024.2819482421876,1002,11708.04,7870300,0.001,165,7870411,0.45,9637.151165771484
