train/actor_loss,train/n_updates,time/fps,rollout/success rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total timesteps,time/episodes,train/std,train/ent_coef,train/ent_coef_loss,train/critic_loss
56.46452331542969,16424,31,0.04,-56.48207636,97.99,0.0003,10480,328581,3348,0.049627721309661865,0.03935054689645767,-0.16011595726013184,57.54853439331055
56.80284881591797,16444,30,0.04,-57.12826628,97.99,0.0003,10655,328981,3352,0.04962931200861931,0.039352092891931534,-1.1478261947631836,24.714683532714844
56.778770446777344,16464,30,0.04,-57.22460946000001,97.99,0.0003,10826,329381,3356,0.04963160678744316,0.039363425225019455,0.9962977766990662,12.916219711303711
56.1806640625,16484,30,0.04,-56.79423755,97.99,0.0003,10974,329781,3360,0.04962950572371483,0.03936558589339256,-2.145364761352539,14.649450302124023
56.56684875488281,16500,29,0.05,-56.36390395,97.31,0.0003,11071,330113,3364,0.04962853714823723,0.03936190903186798,-0.16512556374073029,15.626774787902832
56.32670593261719,16520,29,0.04,-56.590509409999996,97.35,0.0003,11181,330513,3368,0.04962625354528427,0.03933582827448845,3.798072338104248,29.64720344543457
57.06138229370117,16540,29,0.04,-56.1887025,97.35,0.0003,11346,330913,3372,0.049625348299741745,0.03930177912116051,-0.4731196463108063,11.547088623046875
56.800167083740234,16560,28,0.04,-56.20352258999999,97.35,0.0003,11482,331313,3376,0.04962227866053581,0.039303943514823914,3.693094253540039,61.66667556762695
56.53114318847656,16580,28,0.04,-56.13842558,97.35,0.0003,11630,331713,3380,0.04962199553847313,0.039317067712545395,-1.82462739944458,41.01972961425781
56.922908782958984,16600,28,0.04,-56.54130507,97.35,0.0003,11764,332113,3384,0.049616314470767975,0.03926805406808853,2.4359729290008545,40.96498107910156
56.7697868347168,16620,27,0.04,-56.43263135,97.35,0.0003,11924,332513,3388,0.04961235821247101,0.0392247773706913,1.8376766443252563,12.58099365234375
57.042388916015625,16640,27,0.04,-57.24020135999999,97.35,0.0003,12080,332913,3392,0.04961174726486206,0.03923634812235832,4.157948017120361,42.24070739746094
56.049034118652344,16660,27,0.04,-58.29046830999999,97.35,0.0003,12237,333313,3396,0.049611471593379974,0.039241671562194824,1.6279511451721191,39.99320983886719
56.13842010498047,16680,26,0.04,-57.960301460000004,97.35,0.0003,12388,333713,3400,0.049609094858169556,0.0391935259103775,3.0114192962646484,22.403064727783203
56.662498474121094,16700,26,0.04,-57.265716000000005,97.35,0.0003,12567,334113,3404,0.049607716500759125,0.039169516414403915,-3.752349853515625,26.27692413330078
55.687950134277344,16720,26,0.03,-57.90673027,98.3,0.0003,12711,334513,3408,0.04960629343986511,0.039168983697891235,-0.4500380754470825,13.132899284362793
56.05706787109375,16740,26,0.03,-57.40103403000001,98.3,0.0003,12855,334913,3412,0.0496097207069397,0.03919209539890289,2.3571133613586426,25.425439834594727
55.513031005859375,16760,25,0.03,-56.66410226,98.3,0.0003,12989,335313,3416,0.04960811138153076,0.039197180420160294,1.4498257637023926,11.673606872558594
56.094383239746094,16780,25,0.02,-57.88344932,99.07,0.0003,13156,335713,3420,0.04960949346423149,0.03924572095274925,2.886368751525879,13.582231521606445
56.46650314331055,16800,25,0.02,-57.524084020000004,99.07,0.0003,13306,336113,3424,0.049608610570430756,0.039264220744371414,0.8863378763198853,20.650266647338867
56.022315979003906,16820,25,0.02,-57.41259582000001,99.07,0.0003,13443,336513,3428,0.04960424453020096,0.03925411403179169,3.601158618927002,21.24799919128418
55.33412170410156,16840,24,0.02,-57.024104949999995,99.07,0.0003,13595,336913,3432,0.04959804564714432,0.03923047333955765,3.57647705078125,43.50834655761719
55.25950241088867,16860,24,0.02,-57.131170909999994,99.07,0.0003,13740,337313,3436,0.04959927499294281,0.03928466513752937,-8.013509750366211,53.48426055908203
54.12914276123047,16880,24,0.01,-57.393554730000005,99.32,0.0003,13873,337713,3440,0.04959244653582573,0.03920814022421837,-1.7626479864120483,25.77806282043457
54.93460464477539,16900,24,0.01,-57.73981534000001,99.32,0.0003,14049,338113,3444,0.04959053546190262,0.03919471055269241,0.4145122468471527,48.42961120605469
55.184776306152344,16920,23,0.01,-57.472692779999996,99.32,0.0003,14192,338513,3448,0.049587398767471313,0.03917067497968674,-1.9530179500579834,13.337631225585938
55.59501266479492,16940,23,0.02,-56.613177050000004,99.2,0.0003,14347,338901,3452,0.04958520084619522,0.039128586649894714,-6.178776264190674,41.69696044921875
55.29425811767578,16960,23,0.02,-56.77547428000002,99.2,0.0003,14512,339301,3456,0.049585193395614624,0.03909366577863693,0.37415415048599243,25.460662841796875
54.955013275146484,16975,23,0.03,-55.748358280000005,98.23,0.0003,14612,339604,3460,0.04958484694361687,0.039078205823898315,-1.4975922107696533,2.1110503673553467
55.50273895263672,16995,23,0.02,-56.57580997,98.91,0.0003,14769,340004,3464,0.04958439990878105,0.039032358676195145,2.4311914443969727,25.990373611450195
55.175682067871094,17015,22,0.02,-56.43864737999999,98.91,0.0003,14895,340404,3468,0.0495850071310997,0.039011869579553604,-1.8998355865478516,10.973995208740234
55.64867401123047,17035,22,0.02,-56.005821159999996,98.91,0.0003,15053,340804,3472,0.04958145320415497,0.038964785635471344,1.7489333152770996,14.300274848937988
