rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
57.1,76,208800,208904,0.001,-41.682834709999995,526.510026550293,2559,0.57,2716,134.39415283203124
57.95,75,208900,209004,0.001,-42.26249514999999,499.14337701797484,2560,0.56,2751,135.67190551757812
58.8,75,209000,209104,0.001,-42.623800769999995,492.64737873077394,2561,0.55,2779,135.90653381347656
58.61,74,209020,209139,0.001,-42.47919484,531.9476041793823,2562,0.55,2789,135.42583160400392
59.16,74,209120,209239,0.001,-43.177272439999996,483.7399118423462,2563,0.54,2815,135.31194305419922
60.05,73,209220,209339,0.001,-43.664679070000005,383.86936836242677,2564,0.53,2847,136.51051177978516
60.99,72,209320,209439,0.001,-44.480744079999994,464.843731880188,2565,0.52,2874,136.63282470703126
61.83,72,209420,209539,0.001,-45.312007890000004,389.12253551483155,2566,0.51,2896,135.8330871582031
61.83,71,209520,209639,0.001,-45.40749913,423.49867115020754,2567,0.51,2915,136.180517578125
61.83,71,209620,209739,0.001,-45.33083212,580.9457923889161,2568,0.51,2946,136.05375213623046
61.09,70,209660,209765,0.001,-44.85687703000001,516.5178476333618,2569,0.52,2957,135.88890228271484
61.09,70,209760,209865,0.001,-44.45354673,634.4667041778564,2570,0.52,2975,135.15121459960938
61.97,69,209860,209965,0.001,-45.30856632,572.8787858963012,2571,0.51,3002,136.41683502197264
61.99,69,,209972,,-45.310699619999994,,2572,0.51,3005,
62.81,69,209960,210072,0.001,-46.05467581,482.246653175354,2573,0.5,3027,135.5008529663086
63.59,68,210060,210172,0.001,-46.75471108,550.8850751876831,2574,0.49,3054,135.20650482177734
63.7,68,210120,210240,0.001,-46.88242432,509.1611946105957,2575,0.49,3074,135.6682144165039
64.57,67,210220,210340,0.001,-47.59858435,405.2822769165039,2576,0.48,3101,137.3146713256836
65.16,66,210320,210440,0.001,-49.83561893,447.13040714263917,2577,0.47,3142,137.21454925537108
65.27,66,210360,210463,0.001,-49.83193562999999,396.96512546539304,2578,0.47,3157,136.476513671875
64.33,66,,210469,,-49.08562941,,2579,0.48,3160,
63.66,66,210400,210502,0.001,-48.5807844,502.1452001571655,2580,0.49,3170,136.15845489501953
63.75,66,,210515,,-48.60326254,,2581,0.49,3173,
63.68,66,210440,210541,0.001,-48.704741920000004,472.35807056427,2582,0.49,3180,135.1136672973633
63.02,66,,210548,,-47.35995028,,2583,0.49,3188,
62.23,65,210460,210569,0.001,-45.22060003000001,349.7731990814209,2584,0.5,3201,136.21412658691406
62.73,65,210520,210638,0.001,-45.36478531000001,405.6063367843628,2585,0.5,3219,134.75078582763672
62.73,64,210620,210738,0.001,-45.415916499999994,513.3033750534057,2586,0.5,3251,135.72744445800782
62.58,64,210720,210823,0.001,-45.54061863,310.6518581390381,2587,0.51,3274,134.8295166015625
62.65,64,210740,210848,0.001,-45.504411919999995,374.6383008956909,2588,0.51,3281,136.38286590576172
63.47,63,210840,210948,0.001,-46.12750706999999,302.2166324615479,2589,0.5,3321,135.97943115234375
63.47,62,210940,211048,0.001,-46.185890529999995,645.824486541748,2590,0.5,3353,135.1268798828125
63.24,62,210980,211093,0.001,-46.41410092,354.60217542648314,2591,0.5,3371,136.03839111328125
63.24,62,211080,211193,0.001,-46.207051490000005,497.9716514587402,2592,0.5,3402,135.78351898193358
63.82,61,211180,211293,0.001,-46.32411854,373.2271483421326,2593,0.49,3428,137.27713928222656
63.81,61,211200,211304,0.001,-46.34120895,223.38229990005493,2594,0.49,3432,136.78189697265626
63.81,61,211300,211404,0.001,-46.43574536,451.2443857192993,2595,0.49,3453,135.9640655517578
63.81,60,211400,211504,0.001,-46.99521451,350.0246870994568,2596,0.49,3478,135.94900665283203
64.02,60,211420,211535,0.001,-47.04276927,422.7548252105713,2597,0.49,3492,136.51729431152344
