time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
1811,-552.9857152599999,306600,169,100.0,66,15320,2366.744140625,0.2,-0.008527755737304688,0.23485653,0.8700692653656006,-7.677612209320069,0.016206940499250776,4738.1908203125,0.6279999852180481,0.0003
1826,-553.0038995099999,306700,167,100.0,67,15325,2387.41064453125,0.2,0.02257978916168213,0.05541557,0.8703079223632812,-7.6768638610839846,0.013256872963393108,4775.30302734375,0.46599998474121096,0.0003
1846,-552.7004348299998,306800,166,100.0,68,15330,2696.053955078125,0.2,-0.015839815139770508,0.032534767,0.8704466819763184,-7.678807735443115,0.008614162178128026,5397.1873046875,0.3379999935626984,0.0003
1862,-552.3388950799999,306900,164,100.0,69,15335,2494.447509765625,0.2,-0.013641834259033203,0.1750344,0.8701279163360596,-7.678182888031006,0.0024741577803979453,5001.76943359375,0.5079999804496765,0.0003
1878,-551.98904428,307000,163,100.0,70,15340,2505.87939453125,0.2,0.010335266590118408,0.040715322,0.8695566058158875,-7.675593280792237,0.025372019235146582,5011.36171875,0.5259999871253968,0.0003
1892,-551.73135612,307100,162,100.0,71,15345,2581.214111328125,0.2,0.010370075702667236,0.14464268,0.8690831661224365,-7.67119140625,0.040442225069273266,5163.456640625,0.593999981880188,0.0003
1910,-551.68367243,307200,160,100.0,72,15350,2522.06103515625,0.2,0.0003590583801269531,0.48094404,0.8692938685417175,-7.669476509094238,0.07243155437754467,5045.11103515625,0.7039999842643738,0.0003
1925,-551.63843149,307300,159,100.0,73,15355,2626.3271484375,0.2,0.005286097526550293,0.018224558,0.8695058822631836,-7.671395969390869,0.019021796943707158,5254.24599609375,0.4439999759197235,0.0003
1945,-551.44550672,307400,158,100.0,74,15360,2628.7978515625,0.2,0.008393585681915283,0.784205,0.8694595694541931,-7.6721696853637695,0.07917639890220016,5256.2599609375,0.6119999766349793,0.0003
1972,-551.37060243,307500,155,100.0,75,15365,2495.644287109375,0.2,-0.01038980484008789,0.2861643,0.8693916201591492,-7.671382808685303,0.061511424034688386,4999.43828125,0.6019999861717225,0.0003
