rollout/ep_rew_mean,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/success rate,train/actor_loss,time/total timesteps
-31.033579259999996,,96,3224,47.27,,4623,,0.66,,311233
-31.041003939999996,311140,96,3228,47.23,546.7900882720947,4624,0.001,0.66,120.49845809936524,311244
-31.053268020000004,,96,3232,47.3,,4625,,0.66,,311256
-30.99597569,311160,96,3235,47.25,453.42412824630736,4626,0.001,0.66,121.37084884643555,311261
-30.388959640000003,311180,96,3242,46.48,468.87496700286863,4627,0.001,0.67,121.67602462768555,311284
-29.81204117,311280,95,3267,46.48,482.61221809387206,4628,0.001,0.67,121.25231475830078,311384
-29.08006687,,95,3270,45.58,,4629,,0.68,,311394
-29.067988819999997,,95,3272,45.55,,4630,,0.68,,311397
-28.768433819999995,311300,95,3276,44.64,486.9178598403931,4631,0.001,0.69,121.28203887939453,311406
-29.375542699999997,311400,94,3298,45.28,407.73908405303956,4632,0.001,0.68,121.96132125854493,311506
-29.12864417999999,,94,3301,44.79,,4633,,0.68,,311515
-29.046327029999993,311420,94,3305,44.85,395.3664991378784,4634,0.001,0.68,122.72134323120117,311528
-29.534224870000003,311520,93,3329,45.77,342.6713357925415,4635,0.001,0.67,120.84291076660156,311628
-29.016315830000003,311540,93,3338,44.9,384.3319955825806,4636,0.001,0.68,121.46222305297852,311641
-29.67344175,311640,92,3360,45.65,525.7299783706665,4637,0.001,0.67,120.55426864624023,311741
-27.135497540000003,,92,3371,44.98,,4638,,0.67,,311753
-27.26437464,311700,92,3383,45.45,520.3148912429809,4639,0.001,0.67,121.47283782958985,311807
-27.527620190000004,,91,3396,45.45,,4640,,0.67,,311819
-26.697697820000002,311740,91,3403,44.69,603.849888420105,4641,0.001,0.68,121.4385856628418,311843
-25.968883020000007,,91,3406,43.79,,4642,,0.69,,311853
-25.156645490000002,,91,3408,42.85,,4643,,0.7,,311859
-25.579793350000003,311840,90,3440,43.79,371.7602117538452,4644,0.001,0.69,120.90148620605468,311959
-25.62417868,311860,90,3443,43.75,445.62187633514407,4645,0.001,0.69,121.75114822387695,311966
-26.08821174,311880,90,3454,43.99,514.7429013252258,4646,0.001,0.69,121.01812896728515,311999
-26.087802279999995,311900,90,3464,44.05,462.82280750274657,4647,0.001,0.69,121.61275253295898,312010
