time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,time/fps,time/total timesteps,rollout/success rate
6165,-83.05159489999998,611.5452955245971,156.95894775390624,1339,87.32,0.001,120460,19,120570,0.2
6193,-82.84035221999997,539.9704494476318,158.68826904296876,1340,87.32,0.001,120560,19,120670,0.2
6230,-81.82563465,433.65464344024656,158.93865051269532,1341,87.32,0.001,120660,19,120770,0.2
6240,-81.37226607,520.4005613327026,158.65877990722657,1342,86.44,0.001,120680,19,120782,0.21
6282,-81.06782052,734.8930137634277,158.4023681640625,1343,86.69,0.001,120780,19,120882,0.2
6308,-79.60672339,531.6458782196045,157.17062683105468,1344,86.32,0.001,120840,19,120945,0.21
6335,-75.5168431,756.1457420349121,156.15657958984374,1345,86.32,0.001,120940,19,121045,0.21
6354,-75.85883973,574.6513486862183,158.84109191894532,1346,86.32,0.001,121040,19,121145,0.21
6356,-75.05681186,,,1347,85.39,,,19,121152,0.22
6373,-75.51776394000001,492.6896421432495,155.77593078613282,1348,85.39,0.001,121140,19,121252,0.22
6398,-75.87496412000002,534.2951934814453,158.35784301757812,1349,86.01,0.001,121240,18,121352,0.21
6434,-75.94908131999999,633.944747543335,157.07958984375,1350,86.01,0.001,121340,18,121452,0.21
6471,-75.9952492,390.839169883728,158.47644958496093,1351,86.01,0.001,121440,18,121552,0.21
6479,-75.03163503,712.7219650268555,157.67774047851563,1352,85.27,0.001,121460,18,121578,0.22
6530,-77.58412356000001,489.2983125686645,157.37478790283203,1353,85.27,0.001,121560,18,121678,0.22
6554,-78.34214944000001,623.5707929611206,157.08776397705077,1354,85.27,0.001,121660,18,121778,0.22
6574,-78.36409692000001,741.5318046569824,157.64727478027345,1355,85.16,0.001,121700,18,121801,0.22
6603,-78.73328771,558.2357887268066,158.01675109863282,1356,85.99,0.001,121800,18,121901,0.21
6608,-78.20974534,,,1357,85.15,,,18,121917,0.22
6613,-77.89749463,714.6589176177979,155.41156921386718,1358,84.33,0.001,121820,18,121935,0.23
6626,-78.18307088,629.8835262298584,157.44497833251953,1359,84.32,0.001,121880,18,121981,0.23
6660,-76.30343222999998,485.9044555664062,157.58965301513672,1360,84.32,0.001,121980,18,122081,0.23
6689,-75.85518329,864.9159442901612,156.4221618652344,1361,84.32,0.001,122080,18,122181,0.23
6695,-75.08498065999999,,,1362,83.51,,,18,122200,0.24
6712,-74.56232538999998,862.991780090332,157.1301025390625,1363,83.09,0.001,122140,18,122258,0.25
6741,-74.38267432999999,503.5525520324707,156.2592300415039,1364,83.09,0.001,122240,18,122358,0.25
6769,-74.90519051999999,596.9948852539062,157.26104736328125,1365,83.09,0.001,122340,18,122458,0.25
6801,-75.53194986,610.9319829940796,157.54821166992187,1366,84.02,0.001,122440,18,122558,0.24
6820,-75.5979623,748.4837491989135,157.5974349975586,1367,84.02,0.001,122540,17,122658,0.24
6846,-76.21389424,593.9399644851685,157.37691345214844,1368,84.38,0.001,122640,17,122758,0.23
6867,-76.14617679000001,609.1301795959473,155.9493835449219,1369,84.38,0.001,122740,17,122858,0.23
6889,-75.36871056000001,837.399634552002,156.39185028076173,1370,83.78,0.001,122780,17,122898,0.24
