time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/fps,time/total timesteps,train/learning_rate
30459,238,-106749.79331004001,15359.3696484375,0.06,1181200,2314.040224609375,4931.79,38,1181399,0.001
30585,239,-106309.48758588001,16100.530764160156,0.06,1186200,2328.477490234375,4931.79,38,1186399,0.001
30711,240,-106237.27971969999,8787.54529296875,0.06,1191200,2366.6214794921875,4931.79,38,1191399,0.001
30837,241,-108508.46430411999,11143.582497558593,0.06,1196200,2379.223271484375,4931.79,38,1196399,0.001
30964,242,-108636.65260700996,11050.251782226562,0.06,1201200,2360.62990234375,4931.79,38,1201399,0.001
31091,243,-113328.23268054999,5886.6627514648435,0.06,1206200,2389.0246240234374,4931.79,38,1206399,0.001
31217,244,-112994.65153144,19622.827377929687,0.06,1211200,2368.246630859375,4931.79,38,1211399,0.001
31343,245,-112781.57232618998,12939.22955078125,0.06,1216200,2349.7543701171876,4931.79,38,1216399,0.001
31469,246,-112022.78267827,7758.356728515625,0.06,1221200,2381.347607421875,4931.79,38,1221399,0.001
31595,247,-111985.73545987999,8157.5958959960935,0.06,1226200,2373.273642578125,4931.79,38,1226399,0.001
31721,248,-112188.10575702,14913.125126953126,0.06,1231200,2402.950146484375,4931.79,38,1231399,0.001
31793,249,-111837.99975544,14015.552429199219,0.07,1234100,2383.2413671875,4910.01,38,1234221,0.001
31830,250,-110727.78790736999,18044.747296142577,0.08,1235500,2388.8284375,4874.6,38,1235680,0.001
31923,251,-108105.60410150001,24351.51464355469,0.09,1239200,2389.614814453125,4861.71,38,1239391,0.001
32050,252,-107254.00518631999,14007.334537353516,0.09,1244200,2390.915380859375,4861.71,38,1244391,0.001
32176,253,-107553.55166343001,11370.610710449218,0.09,1249200,2436.907392578125,4861.71,38,1249391,0.001
