train/actor_loss,rollout/ep_len_mean,rollout/success rate,time/fps,train/critic_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed
,41.72,0.66,133,,,,6866,-48.4129957,410795,3083
190.1400604248047,41.72,0.66,132,1640.523828125,410780,0.001,6867,-48.567565130000006,410895,3112
194.62462463378907,42.63,0.65,130,1277.32406539917,410880,0.001,6868,-48.875727620000006,410995,3142
192.67396240234376,43.48,0.64,129,1415.8893508911133,410980,0.001,6869,-51.61662297,411095,3164
195.5718032836914,43.45,0.64,129,1133.7454627990724,411000,0.001,6870,-51.63035431000001,411101,3167
190.65862884521485,44.13,0.63,128,1573.9052490234376,411100,0.001,6871,-52.02062856,411201,3201
,43.28,0.64,128,,,,6872,-51.38511743,411216,3206
193.1175506591797,43.54,0.64,127,1831.4276489257813,411140,0.001,6873,-51.96475671,411249,3217
191.12564697265626,44.5,0.63,126,1094.9866386413573,411240,0.001,6874,-56.069962610000005,411349,3241
194.78131103515625,44.5,0.63,125,1425.2097595214843,411340,0.001,6875,-55.42960313000001,411449,3279
193.41546173095702,44.5,0.63,124,1012.7381690979004,411440,0.001,6876,-55.344489059999994,411549,3303
195.50353393554687,45.39,0.62,123,990.122484588623,411540,0.001,6877,-56.14014846,411649,3344
192.5842071533203,45.58,0.62,122,1603.6434547424317,411560,0.001,6878,-56.0627873,411677,3351
192.9115219116211,46.53,0.61,121,1574.4913139343262,411660,0.001,6879,-56.597488780000006,411777,3386
193.59328918457032,46.88,0.61,121,1381.0563232421875,411720,0.001,6880,-57.57424962,411831,3401
193.65119171142578,46.88,0.61,119,1224.297410583496,411820,0.001,6881,-56.574492469999996,411931,3433
193.70535736083986,47.82,0.6,119,1308.2011009216308,411920,0.001,6882,-56.96970365999999,412031,3454
194.70327606201172,47.92,0.6,119,1378.7361305236816,411940,0.001,6883,-57.04016609999999,412046,3459
,46.96,0.61,119,,,,6884,-55.949902460000004,412050,3460
193.6769592285156,47.21,0.61,118,1151.1374076843263,411980,0.001,6885,-56.150060690000004,412095,3481
192.5480484008789,47.37,0.61,118,1321.8033409118652,412020,0.001,6886,-56.51433222,412124,3488
,47.43,0.61,117,,,,6887,-56.54072989,412134,3492
195.30797576904297,47.11,0.62,117,1129.1629356384278,412100,0.001,6888,-55.087782069999996,412202,3513
193.73697814941406,47.11,0.62,116,1285.5123291015625,412200,0.001,6889,-55.36242711999999,412302,3547
195.66700134277343,47.11,0.62,115,969.9920135498047,412300,0.001,6890,-55.499803130000004,412402,3579
,46.16,0.63,115,,,,6891,-54.857567100000004,412407,3581
192.71220703125,46.28,0.63,115,1521.808497619629,412320,0.001,6892,-54.873187679999994,412426,3585
,46.28,0.63,114,,,,6893,-54.8695494,412431,3587
190.29061737060547,46.86,0.63,114,1863.3180465698242,412400,0.001,6894,-54.999886989999986,412501,3602
195.6895294189453,47.78,0.62,113,1419.0414749145507,412500,0.001,6895,-59.01233357,412601,3623
195.73566589355468,48.74,0.61,112,1193.9239120483398,412600,0.001,6896,-59.531296080000004,412701,3657
,48.63,0.61,112,,,,6897,-59.4939488,412704,3658
196.70303802490236,48.63,0.61,112,1537.2968185424804,412700,0.001,6898,-59.84379344999999,412804,3680
196.49772033691406,49.46,0.6,111,1448.9503112792968,412800,0.001,6899,-60.47045481,412904,3708
,49.23,0.6,111,,,,6900,-59.75231761999999,412911,3710
,49.21,0.6,111,,,,6901,-59.80521711999999,412917,3713
196.98084411621093,49.21,0.6,110,1218.4655494689941,412900,0.001,6902,-59.615773759999996,413017,3735
193.82754974365236,49.4,0.6,110,1880.466860961914,412920,0.001,6903,-59.7177309,413039,3743
196.92088928222657,49.44,0.6,110,1550.1661468505858,412940,0.001,6904,-59.80275608,413050,3747
197.5793441772461,50.33,0.59,109,1436.5587242126464,413040,0.001,6905,-60.58448140999999,413150,3769
192.95714416503907,50.33,0.59,109,1700.8233810424804,413140,0.001,6906,-64.41564702999999,413250,3791
,50.29,0.59,108,,,,6907,-64.39846308999999,413256,3804
197.34378967285156,50.53,0.59,108,1427.8618377685548,413180,0.001,6908,-64.51274413,413283,3812
,49.61,0.6,108,,,,6909,-60.77236167000001,413291,3815
,49.58,0.6,108,,,,6910,-60.77739321,413296,3817
199.00323944091798,49.65,0.6,108,1221.8037635803223,413200,0.001,6911,-60.81746560999999,413309,3822
194.87433319091798,50.57,0.59,107,1590.3812713623047,413300,0.001,6912,-61.56001589999999,413409,3847
195.89915161132814,51.54,0.58,106,1376.4186401367188,413400,0.001,6913,-66.30155923,413509,3868
197.34077911376954,52.43,0.57,106,1404.813200378418,413500,0.001,6914,-67.0204722,413609,3890
195.20061645507812,52.53,0.57,106,1785.383349609375,413520,0.001,6915,-67.05533238000001,413622,3894
196.29583129882812,53.42,0.56,105,1954.8631591796875,413620,0.001,6916,-67.7211362,413722,3914
193.11316528320313,53.42,0.56,105,1372.6722061157227,413720,0.001,6917,-68.82666557,413822,3936
,53.41,0.56,105,,,,6918,-68.82112278,413828,3939
,53.4,0.56,104,,,,6919,-68.73707325,413838,3941
197.13116149902345,53.46,0.56,104,1518.3024627685547,413740,0.001,6920,-68.87460393,413849,3945
197.19303283691406,53.46,0.56,104,2144.2321533203126,413840,0.001,6921,-72.99108438,413949,3967
195.70690155029297,54.17,0.56,103,1597.2920959472656,413920,0.001,6922,-73.17933083,414021,3988
,54.2,0.56,103,,,,6923,-73.04602102,414032,3991
194.47052459716798,53.44,0.57,103,1452.1662155151366,413940,0.001,6924,-71.85490878,414056,3999
199.45549926757812,52.5,0.58,103,1459.4387985229491,413960,0.001,6925,-71.16908715,414062,4002
,52.31,0.58,103,,,,6926,-70.62473304999999,414072,4016
