time/total timesteps,train/actor_loss,rollout/success rate,time/time_elapsed,time/episodes,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/fps
161200,144.61101837158202,0.0,15537,1612,442.66934242248533,161080,-121.64616042999998,0.001,100.0,10
161600,144.6859924316406,0.0,15630,1616,539.0531063079834,161480,-120.62479512999998,0.001,100.0,10
162000,145.1359085083008,0.0,15729,1620,365.64993515014646,161880,-119.0817742,0.001,100.0,10
162400,144.84561462402343,0.0,15838,1624,541.3198251724243,162280,-118.84921716999999,0.001,100.0,10
162800,145.98977508544922,0.0,15939,1628,309.5705446243286,162680,-117.97793004,0.001,100.0,10
163200,145.65349273681642,0.0,16049,1632,405.1194627761841,163080,-117.51871341,0.001,100.0,10
163600,145.38206939697267,0.0,16150,1636,365.2017839431763,163480,-117.84232210999998,0.001,100.0,10
164000,145.93577575683594,0.0,16260,1640,271.2049171447754,163880,-118.42522124999998,0.001,100.0,10
164400,143.83301239013673,0.0,16349,1644,562.5790901184082,164280,-119.85265107000001,0.001,100.0,10
164800,145.66038208007814,0.0,16446,1648,400.2487836837769,164680,-119.88345565,0.001,100.0,10
165200,144.74622344970703,0.0,16541,1652,454.83129653930666,165080,-119.62142870000001,0.001,100.0,9
165600,146.1553726196289,0.0,16628,1656,439.956840133667,165480,-119.84964367999999,0.001,100.0,9
166000,145.9437484741211,0.0,16714,1660,545.6882417678833,165880,-118.07554357999999,0.001,100.0,9
166400,145.02525787353517,0.0,16819,1664,505.6499416351318,166280,-119.09341955,0.001,100.0,9
166800,145.74384307861328,0.0,16910,1668,559.9682262420654,166680,-119.21435546000001,0.001,100.0,9
167200,145.82849884033203,0.0,16989,1672,461.81305303573606,167080,-119.86077256,0.001,100.0,9
167600,145.98662109375,0.0,17107,1676,509.61980018615725,167480,-119.75145178999999,0.001,100.0,9
168000,145.28143310546875,0.0,17208,1680,554.0411911010742,167880,-119.65699479000001,0.001,100.0,9
168400,145.29659881591797,0.0,17308,1684,501.61307468414304,168280,-121.81906796000001,0.001,100.0,9
168800,145.67083740234375,0.0,17409,1688,649.6996732711792,168680,-121.16238355000002,0.001,100.0,9
169200,145.96527862548828,0.0,17497,1692,441.0883222579956,169080,-121.48851561000001,0.001,100.0,9
