time/total timesteps,train/n_updates,time/fps,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/success rate,time/time_elapsed
788421,788300,66,154,-2523.40976273,74.93344108581543,1.82457324616611,0.001,3263.44,0.96,11786
792596,792400,66,155,-2533.06140632,75.87636123657227,0.2990981175005436,0.001,3295.72,0.96,11846
795040,794900,66,156,-2532.3269941599997,74.01587272644043,1.9631818971969188,0.001,3301.86,0.96,11882
798627,798500,66,157,-2527.8639121799997,72.72784294128418,2.671977098584175,0.001,3296.03,0.96,11935
802224,802100,66,158,-2535.19092494,74.06385398864747,4.007707466259599,0.001,3273.8,0.96,11988
804621,804500,66,159,-2516.2911234200005,73.74695014953613,1.8261380086839198,0.001,3231.98,0.96,12022
805014,804900,66,160,-2489.0466365800003,76.02789909362792,1.5464607778191566,0.001,3170.02,0.96,12028
810075,809900,66,161,-2516.4406596000003,73.02469680786133,0.2964248310029507,0.001,3216.96,0.96,12102
814566,814400,66,162,-2526.24878029,76.3047063446045,0.9296425825357437,0.001,3239.95,0.96,12168
816251,816100,66,163,-2508.20332601,75.35290466308594,1.714321745634079,0.001,3229.09,0.96,12192
818743,818600,66,164,-2509.6152156700005,74.16043937683105,1.3426530066132545,0.001,3240.47,0.96,12229
822284,822100,66,165,-2500.0196754500007,75.61461814880371,69.6159815556556,0.001,3199.15,0.96,12280
826066,825900,66,166,-2508.67195922,73.76282958984375,0.6205084444582463,0.001,3171.64,0.96,12336
830555,830400,66,167,-2512.70369685,77.21094413757324,5.030483072027564,0.001,3205.46,0.96,12402
833150,833000,66,168,-2546.31539386,74.93621711730957,1.4858624444901942,0.001,3224.85,0.96,12439
845267,845100,66,169,-2557.33242841,76.05956680297851,0.7990325408428908,0.001,3331.45,0.96,12616
845703,845600,66,170,-2539.9682163400003,73.67918853759765,4.3370813091099265,0.001,3313.61,0.96,12622
847067,846900,67,171,-2548.18731453,74.67298828125,11.329231129586697,0.001,3320.77,0.96,12642
847689,847500,67,172,-2541.06301402,74.57429595947265,0.18844546861946582,0.001,3315.29,0.96,12651
851873,851700,67,173,-2570.2966262000004,73.97185913085937,0.1891352931410074,0.001,3310.47,0.96,12713
852937,852800,67,174,-2573.2232343100004,74.39096534729003,0.9225906498357653,0.001,3312.41,0.96,12728
854899,854700,67,175,-2579.5994649500003,76.10857742309571,4.876341087669134,0.001,3311.55,0.96,12757
857003,856900,67,176,-2579.10186042,73.34674674987792,0.25078143298625943,0.001,3318.75,0.96,12788
858254,858100,67,177,-2567.99758669,75.37142311096191,5.077907351404429,0.001,3308.58,0.96,12806
860524,860400,67,178,-2573.36552692,74.09907447814942,68.72365504994988,0.001,3319.6,0.96,12840
865101,865000,67,179,-2329.0478669900003,74.6792091369629,0.33536451183259486,0.001,3248.88,0.96,12907
869051,868900,67,180,-2354.8930307100004,73.64076362609863,0.4945168662816286,0.001,3282.24,0.96,12964
871271,871100,67,181,-2359.03376598,74.52173240661621,1.6804343041032552,0.001,3293.02,0.96,12997
873131,873000,67,182,-2368.9044818800003,73.29823692321777,5.37382483266294,0.001,3296.45,0.96,13024
874592,874400,67,183,-2366.86718,73.49195098876953,1.6675365209579467,0.001,3244.88,0.96,13045
878958,878800,67,184,-2364.3796141400003,74.26944694519042,1.3467408592998982,0.001,3266.02,0.96,13110
881066,880900,67,185,-2370.7646220799998,73.71955863952637,0.313900594599545,0.001,3277.95,0.96,13140
882450,882300,67,186,-2376.8280615099998,73.3028035736084,66.41922730535269,0.001,3285.52,0.96,13161
885983,885800,67,187,-2413.78044716,72.87493743896485,1.7368843845278024,0.001,3308.88,0.96,13212
886529,886400,67,188,-2392.94095796,74.59759071350098,0.32075896494090556,0.001,3295.62,0.96,13221
888653,888500,67,189,-2395.70150624,75.25340423583984,2.6612175653129815,0.001,3290.5,0.96,13252
889471,889300,67,190,-2397.8174312799993,73.01425582885742,1.8373629097640514,0.001,3292.9,0.96,13264
890861,890700,67,191,-2404.4065875899996,74.25030868530274,0.297051301933825,0.001,3296.59,0.96,13284
894353,894200,67,192,-2418.63128118,74.14120231628418,3.254622607976198,0.001,3263.73,0.96,13335
894771,894600,67,193,-2390.765934,73.809859085083,2.0342869912087918,0.001,3171.03,0.96,13341
896603,896500,67,194,-2394.6247315099995,75.14485710144044,2.635481940433383,0.001,3188.21,0.96,13369
900554,900400,67,195,-2393.09894956,74.65186065673828,0.7021143893897533,0.001,3189.57,0.96,13426
900909,900800,67,196,-2384.62433246,75.12772430419922,4.245321897864342,0.001,3164.54,0.96,13432
902928,902800,67,197,-2382.9691729200003,72.68391242980957,0.8058327590301633,0.001,3084.96,0.96,13461
903266,903100,67,198,-2378.29621798,70.9237580871582,1.6989555722475052,0.001,3078.62,0.96,13466
905402,905300,67,199,-2359.6812599400005,73.05590614318848,1.0130197915434838,0.001,3054.1,0.96,13498
907641,907500,67,200,-2355.9476512399997,72.32987113952636,2.5214573358744383,0.001,3052.02,0.96,13530
907864,907700,67,201,-2354.9855739100003,73.31349266052246,2.279817351065576,0.001,3048.67,0.96,13533
910118,910000,67,202,-2381.6741244299997,73.84013275146485,0.4168413084000349,0.001,3063.25,0.96,13566
911685,911500,67,203,-2388.7348628,73.5671230316162,1.9393731333315372,0.001,3067.19,0.96,13589
912233,912100,67,204,-2389.7182907,71.54410934448242,0.7952539808675647,0.001,3068.45,0.96,13598
914601,914500,67,205,-2419.39934869,75.20438522338867,5.954324756339193,0.001,3082.93,0.96,13632
915319,915200,67,206,-2415.65088656,74.51733924865722,0.3293342099711299,0.001,3077.99,0.96,13643
917233,917100,67,207,-2406.96290934,73.43561416625977,1.3762077325955033,0.001,3074.46,0.96,13671
918247,918100,67,208,-2409.4001520799998,73.91555107116699,5.455101199373603,0.001,3075.94,0.96,13685
919099,918900,67,209,-2388.0850881099996,72.66612823486328,0.09043087270110846,0.001,3045.65,0.96,13698
920419,920300,67,210,-2389.4560636600004,74.36774154663085,2.1728669321537017,0.001,3026.65,0.96,13717
921473,921300,67,211,-2394.30747215,71.5558470916748,1.241836642101407,0.001,3030.8,0.96,13733
922799,922600,67,212,-2393.79372461,73.10953086853027,0.4186225028336048,0.001,3027.61,0.96,13752
926315,926200,67,213,-2411.07683543,74.51283615112305,2.4827787575870754,0.001,3051.27,0.96,13804
928551,928400,67,214,-1683.6182346899996,72.31730377197266,1.0121279661357403,0.001,2923.63,0.97,13837
929356,929200,67,215,-1643.8301199999999,73.41343444824219,4.569411284811795,0.001,2781.68,0.98,13849
930049,929900,67,216,-1632.0211914299998,70.15066040039062,1.9390883586555718,0.001,2741.31,0.98,13859
931118,931000,67,217,-1471.1411653999999,72.65702522277832,8.336556983850896,0.001,2602.0,0.99,13875
932214,932100,67,218,-1393.4124126299994,71.81687561035156,1.1408812413364648,0.001,2462.96,1.0,13891
933788,933600,67,219,-1308.7350869400002,74.40469917297364,0.5953123261779547,0.001,2371.52,1.0,13914
937501,937400,67,220,-1303.81965452,73.04488395690917,0.3554110622406006,0.001,2386.83,1.0,13969
940367,940200,67,221,-1289.90674672,74.40901123046875,4.630403812229633,0.001,2391.21,1.0,14010
940462,940300,67,222,-1263.3835961400002,73.41231941223144,1.1914771555364132,0.001,2363.25,1.0,14011
945313,945200,67,223,-1266.7634162000002,70.64540237426758,0.8257069869339466,0.001,2394.8,1.0,14083
947798,947600,67,224,-1273.4454739799999,71.10127624511719,1.6406737573444843,0.001,2401.3,1.0,14119
948489,948300,67,225,-1273.56811457,71.66227325439453,1.079456403441727,0.001,2399.53,1.0,14129
949441,949300,67,226,-1273.31621225,73.23645561218262,3.3799231325089933,0.001,2386.54,1.0,14143
951818,951700,67,227,-1291.39676416,73.35590843200684,7.739656015411019,0.001,2394.09,1.0,14178
953213,953100,67,228,-1284.78281149,71.05909225463867,0.6276147112250328,0.001,2376.66,1.0,14199
953857,953700,67,229,-1267.50708103,71.84224403381347,2.727650745809078,0.001,2352.97,1.0,14208
955608,955500,67,230,-1261.65264607,74.28187202453613,12.152877334803343,0.001,2340.53,1.0,14234
957592,957400,67,231,-1277.673738,71.10759101867676,1.0923046600073576,0.001,2335.02,1.0,14262
958558,958400,67,232,-1263.01234511,71.43895080566406,10.11841093815863,0.001,2310.96,1.0,14277
959690,959500,67,233,-1246.1374542600001,72.56672729492188,2.693804862909019,0.001,2272.77,1.0,14294
960689,960500,67,234,-1246.89102795,72.38114196777343,11.54264028839767,0.001,2269.07,1.0,14308
963689,963500,67,235,-1255.6998606500001,72.36663948059082,1.4075434959679842,0.001,2271.09,1.0,14352
964365,964200,67,236,-1242.8247098,71.45351989746094,1.0254761597141624,0.001,2255.36,1.0,14362
968703,968600,67,237,-1268.73955694,74.92594749450683,4.0503057802841065,0.001,2279.43,1.0,14426
971089,970900,67,238,-1271.6269695100002,73.86799797058106,1.7244061286747456,0.001,2260.73,1.0,14460
971998,971800,67,239,-1250.0310754000002,73.55628944396973,0.32791558377444746,0.001,2239.84,1.0,14474
975796,975600,67,240,-1241.5774890600003,73.3975693511963,6.944813921675086,0.001,2249.18,1.0,14529
977005,976900,67,241,-1233.3383403300002,72.23611465454101,0.30404082249850034,0.001,2239.26,1.0,14547
977989,977800,67,242,-1234.2343127000004,71.3526432800293,2.318637998253107,0.001,2233.0,1.0,14562
978688,978500,67,243,-1226.5439146100002,73.13701751708984,0.8165388715267181,0.001,2179.55,1.0,14572
979294,979100,67,244,-1221.9887468400002,71.93455558776856,2.8569613406062127,0.001,2166.21,1.0,14581
981753,981600,67,245,-1233.7495681000003,71.6461206817627,1.2882956418395042,0.001,2166.09,1.0,14617
982496,982300,67,246,-1219.2106302600002,73.88822959899902,4.321960362195969,0.001,2151.74,1.0,14628
982810,982700,67,247,-1217.79971764,72.29962249755859,1.809680673889816,0.001,2144.32,1.0,14633
985009,984900,67,248,-1239.63663245,75.69090324401856,3.052780530191958,0.001,2150.36,1.0,14667
987219,987100,67,249,-1240.2420653,70.5446257019043,1.9636128029972315,0.001,2114.32,1.0,14698
988247,988100,67,250,-1236.85177778,74.42472671508789,3.7489880022406576,0.001,2106.44,1.0,14714
