time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
99,2855,0.050505050505050504,96.74747474747475,3,9578,-19903.985875030303,9460,0.001,269491.1240234375,2800.053564453125
100,2902,0.06,96.2,3,9620,-19723.66253181,9500,0.001,216007.9349609375,2850.919873046875
101,2941,0.06,96.2,3,9720,-18863.65734872,9600,0.001,219215.53125,2818.933984375
102,2967,0.06,96.2,3,9820,-17884.205142410003,9700,0.001,284584.3185546875,2859.7138671875
103,3001,0.06,96.2,3,9920,-16880.0616345,9800,0.001,233288.362109375,2892.1781494140623
104,3046,0.06,96.2,3,10020,-16040.105557630002,9900,0.001,233629.877734375,2864.1778564453125
105,3069,0.06,96.2,3,10120,-15245.790482,10000,0.001,155823.03564453125,2925.6823486328126
106,3143,0.06,96.2,3,10220,-14277.21913813,10100,0.001,165852.926171875,2915.01396484375
107,3217,0.06,96.2,3,10320,-13299.0249253,10200,0.001,300598.6431640625,2901.823486328125
108,3243,0.06,96.2,3,10420,-13312.054221399996,10300,0.001,161700.361328125,2917.2444580078127
109,3278,0.06,96.2,3,10520,-12629.372141779999,10400,0.001,250024.5720703125,2912.217529296875
110,3297,0.06,96.2,3,10620,-12036.279076960001,10500,0.001,210873.7740234375,2944.5792236328125
111,3306,0.07,95.34,3,10634,-11960.82870368,10520,0.001,276798.4634765625,2941.39326171875
112,3338,0.07,95.34,3,10734,-11156.15835721,10620,0.001,238405.205078125,2947.8106201171877
113,3384,0.07,95.34,3,10834,-11468.417262960002,10720,0.001,256805.1146484375,2972.1846435546877
114,3410,0.07,95.34,3,10934,-11437.10027492,10820,0.001,179143.719921875,3000.3239990234374
115,3433,0.08,94.41,3,10941,-11334.47780328,10840,0.001,217865.0228515625,2999.1193359375
116,3457,0.08,94.41,3,11041,-11336.091856170002,10940,0.001,248725.9580078125,3018.7716552734373
117,3482,0.08,94.41,3,11141,-10492.305963249999,11040,0.001,271663.2306640625,3018.1176025390623
