train/actor_loss,rollout/success rate,time/total timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate
11785.07705078125,0.42,118011,3995439.340625,7671,-4340.73672576,117900,68.29,1414,15,0.001
11771.4443359375,0.42,118111,3437472.26796875,7771,-4292.42006872,118000,68.29,1415,15,0.001
11804.92734375,0.41,118211,3882121.7125,7788,-4346.27494454,118100,69.06,1416,15,0.001
,0.42,118216,,7790,-4270.433505010001,,68.11,1417,15,
11856.825,0.42,118305,3800889.97421875,7833,-4297.47099034,118200,68.95,1418,15,0.001
11767.21591796875,0.41,118405,3875455.70703125,7856,-4330.68279805,118300,69.8,1419,15,0.001
11787.4515625,0.4,118505,3762598.0921875,7880,-4359.89405971,118400,70.67,1420,15,0.001
11791.985546875,0.4,118605,4322552.5390625,7991,-4371.71675138,118500,70.67,1421,14,0.001
,0.4,118614,,8003,-4365.378070989999,,70.58,1422,14,
11857.23076171875,0.39,118714,3726640.88671875,8023,-4473.57442681,118600,71.46,1423,14,0.001
11766.104296875,0.4,118725,3393272.5375,8037,-4411.3679355799995,118620,70.57,1424,14,0.001
11834.591796875,0.39,118825,3818755.712109375,8084,-4454.14502847,118720,70.59,1425,14,0.001
11833.2759765625,0.4,118842,4115797.5953125,8094,-4428.31276194,118740,69.76,1426,14,0.001
11895.76123046875,0.4,118942,2173550.45703125,8128,-4379.78951561,118840,69.76,1427,14,0.001
,0.41,118949,,8131,-4291.102209260001,,68.83,1428,14,
,0.41,118951,,8148,-4290.48375854,,68.81,1429,14,
11810.43359375,0.4,119051,4145327.359375,8174,-4311.28994878,118940,69.19,1430,14,0.001
11821.5017578125,0.41,119069,4032541.6890625,8180,-4231.860926820001,118960,68.37,1431,14,0.001
11871.0216796875,0.41,119116,3038873.07578125,8225,-4250.9630094799995,119000,68.77,1432,14,0.001
11738.02587890625,0.41,119216,4438962.2890625,8257,-4252.4437242700005,119100,68.77,1433,14,0.001
11784.81396484375,0.4,119316,4821586.46953125,8298,-4266.01727442,119200,69.65,1434,14,0.001
11794.77138671875,0.4,119344,3309235.2234375,8317,-4270.38304793,119240,69.78,1435,14,0.001
11827.57001953125,0.4,119444,3640260.79921875,8342,-4204.710199730001,119340,69.78,1436,14,0.001
11802.184765625,0.4,119544,3495541.97890625,8373,-4234.1039650600005,119440,69.78,1437,14,0.001
11841.3451171875,0.41,119621,3114668.9921875,8404,-4206.384438440001,119520,69.55,1438,14,0.001
,0.41,119631,,8408,-4189.374838510001,,68.76,1439,14,
11798.1517578125,0.41,119731,4659215.840625,8435,-4213.86877741,119620,68.76,1440,14,0.001
11872.0587890625,0.41,119831,3336272.4359375,8476,-4173.873796489999,119720,68.76,1441,14,0.001
,0.42,119836,,8493,-4080.4784614999994,,67.81,1442,14,
11775.88173828125,0.43,119859,4237894.48671875,8519,-4064.11022693,119740,67.04,1443,14,0.001
11900.1955078125,0.42,119959,3087277.105859375,8551,-4109.89620282,119840,67.16,1444,14,0.001
11838.68720703125,0.42,120059,3921046.14921875,8580,-4122.66567917,119940,67.16,1445,13,0.001
11894.7197265625,0.42,120159,4296260.778125,8606,-4198.29310553,120040,67.16,1446,13,0.001
11842.91826171875,0.41,120259,3115083.725,8634,-4383.24471571,120140,68.1,1447,13,0.001
11813.5525390625,0.4,120359,4656248.490625,8653,-4456.03885878,120240,69.05,1448,13,0.001
