time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
3256,244070,0.001,19,12637,54.5,-71.58445143,312.0206604003906,243960,0.59,3041.887814331055
3260,244306,0.001,19,12702,54.1,-72.61204279,311.85947265625,244200,0.59,1979.2499137878417
3264,244564,0.001,19,12805,54.48,-73.95498739000001,314.9782989501953,244460,0.59,2946.7523193359375
3268,244876,0.001,19,12882,53.91,-74.80489791000001,312.31053466796874,244760,0.59,2557.5686790466307
3272,244906,0.001,18,12893,52.84,-72.09865158000001,309.1289886474609,244800,0.6,2733.468771362305
3276,245275,0.001,18,12972,54.89,-84.53329708999999,313.23988342285156,245160,0.58,1957.7085136413575
3280,245544,0.001,18,13072,55.41,-85.40019871000003,313.3902069091797,245440,0.58,2550.8773979187013
3284,245849,0.001,18,13148,56.91,-86.34389934000002,311.6735504150391,245740,0.56,2484.4456268310546
3288,246081,0.001,18,13212,57.91,-84.49157634000001,312.2110656738281,245980,0.56,2981.9930786132813
3292,246310,0.001,18,13267,58.84,-86.81859742,313.38531188964845,246200,0.54,2171.697975921631
3296,246429,0.001,18,13308,57.3,-85.78035645,313.7013214111328,246320,0.55,2259.4192474365236
3300,246679,0.001,18,13372,56.66,-87.52771313000001,311.7710266113281,246560,0.57,2448.6126388549806
3304,246984,0.001,18,13450,57.91,-90.03036244,313.36512756347656,246880,0.56,2698.0768035888673
3308,247134,0.001,18,13495,57.37,-92.26397374999996,311.5205017089844,247020,0.56,2966.0389297485353
3312,247347,0.001,18,13553,57.32,-91.14601536,313.3673553466797,247240,0.56,2687.525077819824
3316,247609,0.001,18,13627,58.39,-91.70151046999999,313.44732666015625,247500,0.55,2488.426306152344
3320,247678,0.001,18,13648,57.65,-87.15831693000001,312.2735260009766,247560,0.56,2457.693197631836
3324,247770,0.001,18,13687,55.83,-83.6920164,314.4685852050781,247660,0.58,2296.4978317260743
3328,247910,0.001,18,13729,54.65,-84.53869698999999,312.8768798828125,247800,0.59,2587.019807434082
3332,248310,0.001,17,13815,56.02,-86.9435497,312.4509246826172,248200,0.57,3393.6275619506837
3336,248501,0.001,17,13870,55.76,-88.09264504,311.1564239501953,248400,0.58,2767.0215545654296
