train/critic_loss,time/fps,rollout/ep_len_mean,time/total timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/success rate
379.5018054962158,24,100.0,238800,238680,139.75672760009766,-124.76566779,0.001,9823,2388,0.0
303.80574283599856,24,100.0,239200,239080,140.56238403320313,-123.65624979999998,0.001,9911,2392,0.0
456.6328588485718,23,100.0,239600,239480,139.65362091064452,-124.30533237999998,0.001,10026,2396,0.0
517.4831117630005,23,100.0,240000,239880,139.29268798828124,-123.88096664000001,0.001,10137,2400,0.0
385.125402545929,23,100.0,240400,240280,140.15913848876954,-123.83423065000001,0.001,10255,2404,0.0
372.22767333984376,23,100.0,240800,240680,139.95907745361328,-122.89237925999998,0.001,10354,2408,0.0
410.6021597862244,23,100.0,241200,241080,140.39700469970703,-122.10578718999999,0.001,10456,2412,0.0
355.83210945129395,22,100.0,241600,241480,140.3118637084961,-122.77743246000001,0.001,10565,2416,0.0
406.24933261871337,22,100.0,242000,241880,139.77315826416014,-122.29913959,0.001,10662,2420,0.0
423.65503177642825,22,100.0,242400,242280,140.1281311035156,-122.38148301999998,0.001,10778,2424,0.0
381.4844235420227,22,100.0,242800,242680,140.40377502441407,-122.5066057,0.001,10895,2428,0.0
426.9811230659485,22,100.0,243200,243080,139.58466796875,-122.71657777,0.001,11002,2432,0.0
393.6409105300903,21,100.0,243600,243480,139.86526336669922,-122.842451,0.001,11104,2436,0.0
360.0399963378906,21,100.0,244000,243880,139.68155364990236,-123.02142961,0.001,11197,2440,0.0
297.7618000984192,21,100.0,244400,244280,140.05841369628905,-122.35152173,0.001,11293,2444,0.0
317.1218060493469,21,100.0,244800,244680,139.66720428466797,-122.57595948999999,0.001,11399,2448,0.0
216.04725017547608,21,100.0,245200,245080,139.45094299316406,-122.39701068000001,0.001,11506,2452,0.0
536.6377230644226,21,100.0,245600,245480,138.92221069335938,-121.95688204000002,0.001,11612,2456,0.0
486.916953086853,21,100.0,246000,245880,138.54732360839844,-121.60100494,0.001,11701,2460,0.0
334.77811727523806,20,100.0,246400,246280,139.68004302978517,-120.76660237000002,0.001,11796,2464,0.0
303.9475894927979,20,100.0,246800,246680,139.7024932861328,-119.81222818999997,0.001,11923,2468,0.0
401.8015714645386,20,100.0,247200,247080,138.87510986328124,-120.19615207000002,0.001,12012,2472,0.0
511.809117603302,20,100.0,247600,247480,139.23856201171876,-120.73155129000001,0.001,12097,2476,0.0
344.4758458137512,20,100.0,248000,247880,139.52090759277343,-119.107706,0.001,12202,2480,0.0
364.9444251060486,20,100.0,248400,248280,139.75814971923828,-119.84542754,0.001,12306,2484,0.0
464.1383634567261,20,100.0,248800,248680,139.25444946289062,-117.78034240999999,0.001,12417,2488,0.0
427.4020182609558,19,100.0,249200,249080,139.8286575317383,-117.88851088,0.001,12539,2492,0.0
303.46313762664795,19,100.0,249600,249480,140.17562103271484,-117.39047835999997,0.001,12630,2496,0.0
549.5379713058471,19,100.0,250000,249880,138.73618927001954,-118.91822892999998,0.001,12729,2500,0.0
285.27155685424805,19,100.0,250400,250280,139.50013427734376,-118.20072602999998,0.001,12836,2504,0.0
459.4743693351746,19,100.0,250800,250680,139.109130859375,-119.22992865999998,0.001,12927,2508,0.0
